initial state: ######....##.###.#..#####...#.#.....#..#.#.##......###.#..##..#..##..#.##..#####.#.......#.....##..

...## => #
###.. => .
#.#.# => .
##### => .
....# => .
##.## => .
##.#. => #
##... => #
#..#. => #
#.#.. => .
#.##. => .
..... => .
##..# => .
#..## => .
.##.# => #
..### => #
..#.# => #
.#### => #
.##.. => .
.#..# => #
..##. => .
#.... => .
#...# => .
.###. => .
..#.. => .
####. => #
.#.## => .
###.# => .
#.### => #
.#... => #
.#.#. => .
...#. => .
